State,Year,Household_Internet_access,Phone_access,Computer_access
Johor,2022,98.5,99.5,92.4
Johor,2023,98.8,99.5,92.6
Johor,2024,99.0,99.4,93.1
Johor,2025,99.0,99.4,93.5
Kedah,2022,95.8,99.4,86.3
Kedah,2023,95.9,99.4,86.5
Kedah,2024,96.4,99.3,86.8
Kedah,2025,96.7,99.3,87.1
Kelantan,2022,93.9,99.2,87.5
Kelantan,2023,94.6,99.2,87.7
Kelantan,2024,94.9,99.3,88.1
Kelantan,2025,95.4,99.3,88.5
Melaka,2022,96.2,99.6,91.6
Melaka,2023,96.3,99.6,91.8
Melaka,2024,96.8,99.9,92.6
Melaka,2025,97.3,99.9,93.2
Negeri Sembilan,2022,95.9,99.3,85.7
Negeri Sembilan,2023,96.0,99.3,85.8
Negeri Sembilan,2024,96.4,99.6,90.3
Negeri Sembilan,2025,97.0,99.7,90.7
Pahang,2022,94.9,99.1,87.2
Pahang,2023,95.4,99.1,88.1
Pahang,2024,95.8,99.4,88.5
Pahang,2025,96.1,99.6,89.0
Pulau Pinang,2022,99.2,99.8,95.1
Pulau Pinang,2023,99.3,99.8,95.9
Pulau Pinang,2024,99.7,99.9,96.4
Pulau Pinang,2025,99.7,99.9,97.0
Perak,2022,94.4,99.1,90.6
Perak,2023,95.0,99.3,91.0
Perak,2024,95.6,99.3,91.4
Perak,2025,96.1,99.4,91.8
Perlis,2022,94.6,99.6,88.7
Perlis,2023,95.6,99.6,89.3
Perlis,2024,96.2,99.6,89.9
Perlis,2025,96.9,99.6,90.4
Selangor,2022,99.0,99.7,95.7
Selangor,2023,99.2,99.6,95.9
Selangor,2024,99.5,99.9,96.4
Selangor,2025,99.6,99.9,96.7
Terengganu,2022,93.9,98.0,89.4
Terengganu,2023,94.6,98.5,89.8
Terengganu,2024,95.2,98.8,90.3
Terengganu,2025,95.4,99.0,90.7
Sabah,2022,89.6,99.2,83.4
Sabah,2023,90.4,99.4,83.8
Sabah,2024,91.0,99.5,84.4
Sabah,2025,91.6,99.6,84.9
Sarawak,2022,89.8,97.2,87.7
Sarawak,2023,90.6,97.4,88.2
Sarawak,2024,91.1,98.1,88.7
Sarawak,2025,91.7,98.3,89.3
W.P. Kuala Lumpur,2022,99.8,100.0,100.0
W.P. Kuala Lumpur,2023,99.8,100.0,99.6
W.P. Kuala Lumpur,2024,100.0,100.0,99.8
W.P. Kuala Lumpur,2025,100.0,100.0,99.8
W.P. Labuan,2022,99.7,99.3,97.0
W.P. Labuan,2023,99.7,99.6,97.2
W.P. Labuan,2024,99.7,99.5,97.3
W.P. Labuan,2025,99.8,99.5,97.9
W.P. Putrajaya,2022,100.0,100.0,100.0
W.P. Putrajaya,2023,100.0,100.0,99.6
W.P. Putrajaya,2024,100.0,100.0,100.0
W.P. Putrajaya,2025,100.0,100.0,100.0
